k,t,U_1,U_2,V,W_1,W_2,X_1,X_2,X_est_1,X_est_2,X_est_3,X_est_4,X_est_5,X_est_6,Y,Y_m,Y_est_1,Y_est_2,Y_est_3,E_obs_1,E_obs_2,E_obs_3,Pd,alpha
0,0,0,-0.0073248405024917,-0.0652254282582449,0,0,0,0,0,0,0,0,0,0,0,-0.0652254282582449,0,0,0,0,0,0,0,0
1,0.5,0,0.00850562221808008,0.0913559386554225,-0,-0,0,-0.0073248405024917,-0.152175757518403,0,-0.152175757518403,0,-0.152175757518403,0,0,0.0913559386554225,-0.0456527272555208,-0.0456527272555208,-0.0456527272555208,0.0456527272555208,0.0456527272555208,0.0456527272555208,-0.0073248405024917,0
2,1,0,-0.00555270496275668,0.107712451600927,0,0,-0.0073248405024917,0.00118078171558837,0.669743736761143,0.456615394429168,0.669743736761143,0.456615394429168,0.669743736761143,0.456615394429168,-0.00219745215074751,0.10551499945018,0.200923121028343,0.200923121028343,0.200923121028343,-0.20312057317909,-0.20312057317909,-0.20312057317909,0.00118078171558837,0
3,1.5,0,-0.00185202086718287,-0.0603255695357275,0,0,-0.00394660663615582,-0.0043719232471683,0.592598886390875,0.297580145798351,0.4546799917899,0.19206023458489,0.588616458564945,0.29453324325594,-0.00118398199084675,-0.0615095515265743,0.177779665917262,0.13640399753697,0.176584937569483,-0.178963647908109,-0.137587979527817,-0.17776891956033,-0.0043719232471683,0
4,2,0,-0.00290969062353472,-0.142289026129457,-0,0,-0.00713454789247738,-0.00622394411435117,0.126245484298357,0.0561495680567056,-0.466699491297677,-0.358961384026564,0.0905387666962775,0.0313152762758532,-0.00214036436774321,-0.1444293904972,0.0378736452895072,-0.140009847389303,0.0271616300088832,-0.0400140096572504,0.13786948302156,-0.0293019943766265,-0.00622394411435117,0
5,2.5,0,-0.0134314921583217,-0.119610164951552,-0,-0,-0.0112181276390853,-0.00913363473788589,-0.194885882457637,-0.0685889542919084,-0.707468245240087,-0.371265428463862,-0.272704754847357,-0.117188171086069,-0.0033654382917256,-0.122975603243278,-0.0584657647372912,-0.212240473572026,-0.081811426454207,0.0551003264455656,0.2088750352803,0.0784459881624814,-0.00913363473788589,0
6,3,0,0.011781485473877,-0.264494620655167,-0,0,-0.0169863240852456,-0.0225651268962076,-0.301503013905821,-0.100917397035373,-0.425844049051298,-0.122758463983574,-0.387943110013891,-0.148945981933495,-0.00509589722557369,-0.26959051788074,-0.0904509041717464,-0.127753214715389,-0.116382933004167,0.0853550069461727,0.122657317489816,0.111287035778594,-0.0225651268962076,0
7,3.5,0,0.0105133708348262,0.178787712737339,-0,-0,-0.0344555537558795,-0.0107836414223306,-0.536494602385609,-0.170467372445538,-1.12101835912268,-0.5176236114967,-0.705425960216509,-0.262181279046572,-0.0103366661267639,0.168451046610575,-0.160948380715683,-0.336305507736803,-0.211627788064953,0.150611714588919,0.325968841610039,0.201291121938189,-0.0107836414223306,0
8,4,0,-0.00421320042127234,-0.107884359990936,0,-0,-0.0349025290514463,-0.000270270587504388,-0.188457680543868,-0.0670319859099033,1.18935584865031,0.88758335609783,-0.0594481782321338,0.0153081689439609,-0.0104707587154339,-0.11835511870637,-0.0565373041631605,0.356806754595092,-0.0178344534696401,0.0460665454477266,-0.367277513310525,0.00736369475420625,-0.000270270587504388,0
9,4.5,0,0.0174542808113536,-0.0354472575068484,-0,-0,-0.0247020409235168,-0.00448347100877673,-0.258621814796503,-0.0832760479714841,-0.625467963032169,-0.43523408243135,-0.209788465988427,-0.0579084334967675,-0.00741061227705503,-0.0428578697839034,-0.077586544438951,-0.187640388909651,-0.0629365397965281,0.070175932161896,0.180229776632596,0.0555259275194731,-0.00448347100877673,0
