u1,u2,u3,Time,Filename,sim_model,nT,t,BASE_ORE_DENSITY,BASE_ORE_HARDNESS,BASE_ORE_MIX,C_FLOW,FEED_WATER_RATIO,HC1_PRESS,PB1_LEVEL,SAG_CC,SAG_F_ORE,SAG_F_P80,SAG_F_SD_1,SAG_F_SD_2,SAG_F_SD_3,SAG_F_SD_4,SAG_F_SD_5,SAG_F_SD_6,SAG_F_SD_7,SAG_F_SD_8,SAG_F_SD_9,SAG_F_SD_10,SAG_F_SD_11,SAG_F_SD_12,SAG_F_SD_13,SAG_F_SD_14,SAG_F_SD_15,SAG_F_SD_16,SAG_F_SD_17,SAG_F_SD_18,SAG_F_SD_19,SAG_F_SD_20,SAG_F_SD_21,SAG_F_SD_22,SAG_F_SD_23,SAG_F_SD_24,SAG_F_SOL,SAG_F_WATER,SAG_H_ORE_1,SAG_H_ORE_2,SAG_H_ORE_3,SAG_H_ORE_4,SAG_H_ORE_5,SAG_H_ORE_6,SAG_H_ORE_7,SAG_H_ORE_8,SAG_H_ORE_9,SAG_H_ORE_10,SAG_H_ORE_11,SAG_H_ORE_12,SAG_H_ORE_13,SAG_H_ORE_14,SAG_H_ORE_15,SAG_H_ORE_16,SAG_H_ORE_17,SAG_H_ORE_18,SAG_H_ORE_19,SAG_H_ORE_20,SAG_H_ORE_21,SAG_H_ORE_22,SAG_H_ORE_23,SAG_H_ORE_24,SAG_H_WATER,SAG_IN_HARDNESS,SAG_IN_SOL,SAG_J,SAG_J_SP,SAG_Nc,SAG_OF_ORE,SAG_OF_P80,SAG_OF_SD_1,SAG_OF_SD_2,SAG_OF_SD_3,SAG_OF_SD_4,SAG_OF_SD_5,SAG_OF_SD_6,SAG_OF_SD_7,SAG_OF_SD_8,SAG_OF_SD_9,SAG_OF_SD_10,SAG_OF_SD_11,SAG_OF_SD_12,SAG_OF_SD_13,SAG_OF_SD_14,SAG_OF_SD_15,SAG_OF_SD_16,SAG_OF_SD_17,SAG_OF_SD_18,SAG_OF_SD_19,SAG_OF_SD_20,SAG_OF_SD_21,SAG_OF_SD_22,SAG_OF_SD_23,SAG_OF_SD_24,SAG_OF_SOL,SAG_POW,SAG_PUMP_ORE,SAG_PUMP_P80,SAG_PUMP_SD_1,SAG_PUMP_SD_2,SAG_PUMP_SD_3,SAG_PUMP_SD_4,SAG_PUMP_SD_5,SAG_PUMP_SD_6,SAG_PUMP_SD_7,SAG_PUMP_SD_8,SAG_PUMP_SD_9,SAG_PUMP_SD_10,SAG_PUMP_SD_11,SAG_PUMP_SD_12,SAG_PUMP_SD_13,SAG_PUMP_SD_14,SAG_PUMP_SD_15,SAG_PUMP_SD_16,SAG_PUMP_SD_17,SAG_PUMP_SD_18,SAG_PUMP_SD_19,SAG_PUMP_SD_20,SAG_PUMP_SD_21,SAG_PUMP_SD_22,SAG_PUMP_SD_23,SAG_PUMP_SD_24,SAG_PUMP_SOL,SAG_P_HARDNESS,SAG_P_ORE,SAG_P_P80,SAG_P_SD_1,SAG_P_SD_2,SAG_P_SD_3,SAG_P_SD_4,SAG_P_SD_5,SAG_P_SD_6,SAG_P_SD_7,SAG_P_SD_8,SAG_P_SD_9,SAG_P_SD_10,SAG_P_SD_11,SAG_P_SD_12,SAG_P_SD_13,SAG_P_SD_14,SAG_P_SD_15,SAG_P_SD_16,SAG_P_SD_17,SAG_P_SD_18,SAG_P_SD_19,SAG_P_SD_20,SAG_P_SD_21,SAG_P_SD_22,SAG_P_SD_23,SAG_P_SD_24,SAG_P_SOL,SAG_UF_ORE,SAG_UF_P80,SAG_UF_SD_1,SAG_UF_SD_2,SAG_UF_SD_3,SAG_UF_SD_4,SAG_UF_SD_5,SAG_UF_SD_6,SAG_UF_SD_7,SAG_UF_SD_8,SAG_UF_SD_9,SAG_UF_SD_10,SAG_UF_SD_11,SAG_UF_SD_12,SAG_UF_SD_13,SAG_UF_SD_14,SAG_UF_SD_15,SAG_UF_SD_16,SAG_UF_SD_17,SAG_UF_SD_18,SAG_UF_SD_19,SAG_UF_SD_20,SAG_UF_SD_21,SAG_UF_SD_22,SAG_UF_SD_23,SAG_UF_SD_24,SAG_UF_SOL,SAG_WT,TONNAGE,WATER_ADDITION_2
0.77,32,0.2283,18-Apr-2022 23:08:55,sim_ss_CL_rc_01_01_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,122.724605491053,0.341,8.42913342689581,50.0000573744547,221.543514574374,122.724605491053,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,41.8490904724491,0.14882804480216,0.163740353764466,0.233062740517107,0.620555839916476,2.54228506029682,3.53384402756307,2.5397670616073,2.01286977961238,1.89436430660484,1.90736742233387,2.07794445444286,2.30848969629348,2.57517156322961,2.8722451226069,3.19008873770382,3.63084262656819,4.06810383082865,4.45543164597755,4.6641252697102,4.62401727747817,4.307142958993,3.74560307620405,3.00018169231592,12.9668806699448,8.15814264923979,1,81.9892614965883,31.9994895713581,32,0.77,122.724124521277,105.38432584457,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99,99.93,99.56,98.22,94.94,88.94,80.18,69.49,58.3,48.1,40.2065449152713,2391.43601811447,344.267639095651,502.595448818192,100,100,100,100,100,100,99.97,99.86,99.64,99.15,98.25,96.81,94.63,91.65,87.77,83,77.16,70.26,62.42,53.99,45.47,37.44,30.38,24.69,61.4155342203357,1,344.267645526525,502.595448818192,100,100,100,100,100,100,99.97,99.86,99.64,99.15,98.25,96.81,94.63,91.65,87.77,83,77.16,70.26,62.42,53.99,45.47,37.44,30.38,24.69,81.9892419479951,221.543514574374,811.095102663274,100,100,100,100,100,100,99.96,99.78,99.43,98.67,97.28,95.04,91.65,87.02,80.99,73.63,64.76,54.78,44.4,34.63,26.25,19.68,14.92,11.73,86.7707632610333,279.476919184647,122.724605491053,300
0.77,31,0.2283,18-Apr-2022 23:08:57,sim_ss_CL_rc_01_02_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,121.405372910791,0.341,8.41861433280562,49.9993918184045,220.651479502285,121.405372910791,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,41.3992321625799,0.140236532128119,0.15428803126583,0.21960869450011,0.584733289138669,2.39553879083087,3.32987832067689,2.39318253080181,1.89669682199632,1.78503209757177,1.79728674801134,1.95802177235686,2.17526566786937,2.42656370299501,2.70654711962417,3.00643575369844,3.42350910366888,3.8401631385155,4.21339021245628,4.42038628448697,4.39185450171196,4.0983530575643,3.56855554564719,2.85991241522879,12.2913796357957,8.10523242090463,1,81.9864039343655,31.0053832895844,31,0.77,121.410458514755,104.43371066838,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99,99.94,99.59,98.3,95.1,89.18,80.46,69.77,58.52,48.24,39.8455771797078,2374.89772658214,342.06193801704,499.46080233156,100,100,100,100,100,100,99.97,99.86,99.64,99.15,98.26,96.82,94.66,91.69,87.83,83.09,77.28,70.4,62.57,54.14,45.6,37.53,30.43,24.71,61.1797707105062,1,342.061873452512,499.46080233156,100,100,100,100,100,100,99.97,99.86,99.64,99.15,98.26,96.82,94.66,91.69,87.83,83.09,77.28,70.4,62.57,54.14,45.6,37.53,30.43,24.71,81.9866114100207,220.651479502285,805.120426455653,100,100,100,100,100,100,99.96,99.78,99.44,98.68,97.3,95.07,91.72,87.12,81.14,73.82,65,55.05,44.68,34.86,26.42,19.79,14.98,11.76,86.7316604406762,275.417875465538,121.405372910791,300
0.77,33,0.2283,18-Apr-2022 23:08:58,sim_ss_CL_rc_01_03_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,124.042720741028,0.341,8.43997399364772,50.0007097795997,222.501109823979,124.042720741028,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,42.2985677726904,0.157593412603761,0.17338394635894,0.24678902463249,0.657103214199548,2.69199950743487,3.74193376466652,2.68931490271466,2.13139112044921,2.00590649066524,2.01967299157758,2.20029068010224,2.44440565470246,2.72678111307819,3.04127609730549,3.37734662325729,3.84189564221209,4.29929148351475,4.69945684662819,4.90786502201419,4.85389275626965,4.5115820571022,3.91694579395543,3.13443551170395,13.6270296066564,8.2083745534295,1,81.9987999546219,32.9937701678888,33,0.77,124.036760300033,106.544454057765,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99,99.93,99.53,98.14,94.77,88.68,79.87,69.19,58.06,47.93,40.5663439564374,2406.38026856721,346.537870124012,506.014604142707,100,100,100,100,100,100,99.97,99.86,99.63,99.14,98.24,96.79,94.6,91.6,87.69,82.9,77.03,70.1,62.24,53.81,45.32,37.32,30.31,24.66,61.6569291164291,1,346.537951306803,506.014604142707,100,100,100,100,100,100,99.97,99.86,99.63,99.14,98.24,96.79,94.6,91.6,87.69,82.9,77.03,70.1,62.24,53.81,45.32,37.32,30.31,24.66,81.9985584779246,222.501109823979,817.519551745314,100,100,100,100,100,100,99.96,99.78,99.43,98.66,97.26,94.99,91.58,86.91,80.83,73.41,64.48,54.47,44.1,34.37,26.05,19.55,14.84,11.69,86.8197661877911,283.541781093327,124.042720741028,300
0.77,30,0.2283,18-Apr-2022 23:08:59,sim_ss_CL_rc_01_04_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,120.097936682883,0.341,8.40856233766438,49.9987888571527,219.843416804616,120.097936682883,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,40.953396408863,0.131810662532248,0.145029245263155,0.206410265347318,0.549618005808706,2.25166922742296,3.12990957959685,2.24946956132361,1.78279942784714,1.67784123443696,1.68936170477534,1.84044696525931,2.04464918844545,2.28086311105384,2.54407817177807,2.82628052078574,3.21979346560088,3.61537825373127,3.97323446002321,4.17651015286714,4.15720127980426,3.88494621977853,3.38550630177541,2.71335127529173,11.6000087025878,8.0496362661142,1,81.9913976224767,30.0107252983613,30,0.77,120.108187298409,103.594420096052,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.94,99.61,98.38,95.25,89.39,80.71,70.01,58.71,48.36,39.4869146441689,2356.75240622732,339.951604103025,496.933638422589,100,100,100,100,100,100,99.97,99.86,99.64,99.15,98.27,96.84,94.68,91.73,87.88,83.17,77.37,70.52,62.7,54.25,45.69,37.59,30.46,24.7,60.9530571609403,1,339.951482828058,496.933638422589,100,100,100,100,100,100,99.97,99.86,99.64,99.15,98.27,96.84,94.68,91.73,87.88,83.17,77.37,70.52,62.7,54.25,45.69,37.59,30.46,24.7,81.991817197199,219.843416804616,799.823018081284,100,100,100,100,100,100,99.96,99.78,99.44,98.69,97.32,95.11,91.77,87.21,81.27,74,65.22,55.3,44.91,35.05,26.56,19.87,15.02,11.78,86.7045021521963,271.361626525343,120.097936682883,300
0.77,34,0.2283,18-Apr-2022 23:09:00,sim_ss_CL_rc_01_05_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,125.349120563662,0.341,8.45101971415607,50.0012901673923,223.509912759879,125.349120563662,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,42.7440501122087,0.166537618461662,0.183224295052596,0.260795362690572,0.694396253480785,2.84476844953457,3.95426880790194,2.84191364887256,2.25233037426489,2.11972418535472,2.13426960879369,2.32513273451601,2.58309417348088,2.88148257893566,3.21373908325433,3.56831058738848,4.05676186131926,4.53380563438479,4.94554411042363,5.15170970376387,5.08163349459839,4.71187282745264,4.08281422020945,3.26289433126327,14.2721808053479,8.25587638107888,1,82.0141490917004,33.9887854913647,34,0.77,125.338154363639,107.92808027527,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99,99.92,99.49,98.04,94.59,88.4,79.54,68.87,57.79,47.76,40.9221540626442,2419.73671027578,348.848067123518,510.017732070015,100,100,100,100,100,100,99.97,99.86,99.63,99.14,98.23,96.76,94.56,91.54,87.61,82.78,76.88,69.92,62.03,53.6,45.13,37.17,30.21,24.61,61.901265544581,0.999999999913764,348.84821817717,510.017732070015,100,100,100,100,100,100,99.97,99.86,99.63,99.14,98.23,96.76,94.56,91.54,87.61,82.78,76.88,69.92,62.03,53.6,45.13,37.17,30.21,24.61,82.013706302361,223.509912759879,824.274335450809,100,100,100,100,100,100,99.96,99.78,99.42,98.65,97.23,94.95,91.51,86.8,80.66,73.18,64.19,54.14,43.78,34.09,25.84,19.4,14.74,11.63,86.877133849506,287.614904407917,125.349120563662,300
0.77,29,0.2283,18-Apr-2022 23:09:01,sim_ss_CL_rc_01_06_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,118.818364049944,0.341,8.39916292022957,49.9983380185259,219.14321546475,118.818364049944,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,40.5170621410307,0.12354489431184,0.135959615170492,0.19345819260608,0.515189370678894,2.11058818934629,2.93381423267041,2.10853893940165,1.67110679320171,1.57272499136492,1.58352495610318,1.7251464789344,1.91655824797432,2.1379780196965,2.3847371374416,2.64951829553376,3.01959520093463,3.3936552424029,3.73485417436276,3.93233080669744,3.91980740720963,3.66659533919371,3.19609583754661,2.56017233194352,10.8921309577839,7.99125682376943,1,82.0058099596085,29.0146428936517,29,0.77,118.832774373271,102.865936771036,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.95,99.63,98.44,95.38,89.58,80.93,70.21,58.86,48.46,39.1349262271624,2336.9793720372,337.975989838021,495.130461990834,100,100,100,100,100,100,99.97,99.86,99.64,99.16,98.27,96.85,94.7,91.76,87.92,83.22,77.44,70.6,62.78,54.32,45.74,37.6,30.44,24.67,60.7397954764943,1,337.975837153667,495.130461990834,100,100,100,100,100,100,99.97,99.86,99.64,99.16,98.27,96.85,94.7,91.76,87.92,83.22,77.44,70.6,62.78,54.32,45.74,37.6,30.44,24.67,82.0064015555057,219.14321546475,795.711215811921,100,100,100,100,100,100,99.96,99.79,99.44,98.7,97.33,95.14,91.82,87.28,81.37,74.14,65.4,55.5,45.1,35.2,26.65,19.92,15.03,11.77,86.6920082741117,267.304705752373,118.818364049944,300
0.77,35,0.2283,18-Apr-2022 23:09:15,sim_ss_CL_rc_01_07_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,126.634902468469,0.341,8.46217549211863,50.0017609146468,224.558555225542,126.634902468469,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,43.1825017417479,0.17566486986459,0.193266032278481,0.275088354751396,0.732452558551392,3.0006648212124,4.17095168603035,2.99763737318856,2.37574634283137,2.2358728193124,2.25121323277148,2.45253177405009,2.72462348409269,3.03935228704051,3.38971735928316,3.76306382364506,4.27551393063662,4.77170066107965,5.19373917679671,5.39571911451957,5.30733377079492,4.90814900588017,4.243368698132,3.3857185770966,14.9024884023394,8.30055527267093,1,82.0346648300646,34.9848919071608,35,0.77,126.61966459897,109.395198558684,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99,99.91,99.46,97.9490909090909,94.39,88.11,79.19,68.52,57.51,47.56,41.2716207234375,2431.50572433333,351.178219824511,514.278873158833,100,100,100,100,100,100,99.97,99.86,99.63,99.13,98.21,96.74,94.52,91.48,87.51,82.66,76.71,69.71,61.81,53.37,44.92,37,30.09,24.54,62.1463866482142,0.999999999993678,351.178429835621,514.278873158833,100,100,100,100,100,100,99.97,99.86,99.63,99.13,98.21,96.74,94.52,91.48,87.51,82.66,76.71,69.71,61.81,53.37,44.92,37,30.09,24.54,82.0340515030772,224.558555225542,831.384470350466,100,100,100,100,100,100,99.96,99.78,99.42,98.64,97.21,94.9,91.43,86.67,80.48,72.93,63.88,53.79,43.43,33.78,25.6,19.23,14.63,11.56,86.9417136254299,291.697956704943,126.634902468469,300
0.72,32,0.2283,18-Apr-2022 23:09:16,sim_ss_CL_rc_02_01_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,117.356030639037,0.341,8.400870941714,49.993939274732,220.92835636927,117.356030639037,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,40.0184064479116,0.152563178850603,0.167850219127488,0.238913500171567,0.63613804651285,2.60624080013461,3.62291080064681,2.60383551173833,2.06366078290421,1.94217797052148,1.95553093596469,2.13044313717725,2.36685539872084,2.64033788364865,2.9451147486415,3.2719591806446,3.72756547128904,4.18373141774206,4.58966454222554,4.80422411048067,4.74668128453689,4.38735093610953,3.76849376676825,2.96833444888359,12.6864039475552,7.84958001258304,1,82.2985719518965,32.0542659351292,32,0.72,117.406797869164,105.160720660666,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.95,99.61,98.36,95.15,89.14,80.25,69.37,58.03,47.81,38.7484982913971,2264.69203944558,338.335154238433,511.031147248765,100,100,100,100,100,100,99.97,99.86,99.63,99.13,98.22,96.76,94.55,91.53,87.59,82.76,76.83,69.81,61.82,53.23,44.58,36.49,29.4609090909091,23.9,60.7786399658421,1,338.334427354859,511.031147248765,100,100,100,100,100,100,99.97,99.86,99.63,99.13,98.22,96.76,94.55,91.53,87.59,82.76,76.83,69.81,61.82,53.23,44.58,36.49,29.4618181818182,23.9,82.3006499177221,220.92835636927,810.763407671746,100,100,100,100,100,100,99.96,99.78,99.43,98.67,97.28,95.04,91.66,87.03,81,73.63,64.72,54.64,44.1,34.1490909090909,25.63,19.01,14.28,11.19,87.0925341025171,280.292385309671,117.356030639037,300
0.72,31,0.2283,18-Apr-2022 23:09:16,sim_ss_CL_rc_02_02_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,116.017104501176,0.341,8.38981861937401,49.9931378566853,219.935409299842,116.017104501176,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,39.5618326349008,0.143768207877971,0.158174036143336,0.225140787734172,0.599466878630456,2.45601382974141,3.41410090099829,2.45376742353591,1.94472642202688,1.83024643289758,1.84283226078721,2.00766724021269,2.23045993088524,2.48818939904179,2.77545088628305,3.08382778781558,3.51498310871492,3.94992774483164,4.34196531859536,4.55656071352904,4.51384550863158,4.18189861397754,3.59839109275171,2.83713119625759,12.0486747903069,7.80028550884457,1,82.286124180958,31.0617961733257,31,0.72,116.074358243248,104.079042501033,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.95,99.64,98.44,95.33,89.41,80.5754545454546,69.69,58.29,47.98,38.3780731438029,2249.14608059632,336.00976754309,507.341940580523,100,100,100,100,100,100,99.97,99.86,99.63,99.14,98.24,96.78,94.59,91.58,87.67,82.87,76.97,69.98,62.01,53.42,44.75,36.61,29.54,23.93,60.5265602301364,0.99999999997278,336.008969744207,507.341940580523,100,100,100,100,100,100,99.97,99.86,99.63,99.14,98.24,96.78,94.59,91.58,87.67,82.87,76.97,69.98,62.01,53.42,44.75,36.61,29.54,23.93,82.2884768723427,219.935409299842,803.971947868559,100,100,100,100,100,100,99.96,99.78,99.44,98.69,97.3,95.08,91.73,87.14,81.17,73.85,65.01,54.97,44.43,34.43,25.8418181818182,19.15,14.37,11.24,87.0360358799418,276.233319297144,116.017104501176,300
0.72,33,0.2283,18-Apr-2022 23:09:17,sim_ss_CL_rc_02_03_1_1201.csv,Grinding_circuit_BT_2020a_03_pid_J,1200,20,2.9,1,0.2283,118.684788450373,0.341,8.41213867569031,49.9947765290211,221.973698312818,118.684788450373,101973.768285834,100,78.08,68.42,61.58,47.44,41.7,33.48,28.63,23.19,18.52,14.96,11.75,9.31,7.2,5.7,4.43,3.45,2.68,2.07,1.61,1.24,0.96,0.74,0.58,74.5712155108128,40.4715128615774,0.161529163237468,0.177714543262202,0.252953992324431,0.673522146767551,2.75938663683987,3.83577539104961,2.75681681390938,2.18490376095478,2.05628199803269,2.07041665978034,2.25560121214359,2.50589664017512,2.79543647270953,3.11805601796046,3.46364149016367,3.9438150851928,4.42070940206217,4.83920584444403,5.05164179446238,4.97689823359804,4.58811698519762,3.93266030219672,3.09347709046899,13.3088822531225,7.89614034764308,1,82.3169338476255,33.0464148042789,33,0.72,118.729017592674,106.370730794629,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99,99.94,99.58,98.27,94.97,88.86,79.91,69.03,57.76,47.63,39.1150881920751,2278.72731404123,340.702715905492,515.139315631913,100,100,100,100,100,100,99.97,99.86,99.63,99.13,98.21,96.74,94.51,91.47,87.51,82.64,76.67,69.62,61.6,53.01,44.39,36.33,29.36,23.85,61.033877963657,1,340.702073805362,515.139315631913,100,100,100,100,100,100,99.97,99.86,99.63,99.13,98.21,96.74,94.51,91.47,87.51,82.64,76.67,69.62,61.6,53.01,44.39,36.33,29.36,23.85,82.3187370791304,221.973698312818,817.790957335298,100,100,100,100,100,100,99.96,99.78,99.43,98.66,97.26,94.99,91.58,86.91,80.8245454545455,73.39,64.42,54.29,43.7554545454545,33.84,25.39,18.84,14.18,11.13,87.1574129696338,284.355303553791,118.684788450373,300
